company,source,author,title,description,url,published_at,content,cleaned_content,date,vader_sentiment_label,vader_sentiment_score,finbert_sentiment_label,finbert_sentiment_score
JPMorgan Chase,ETF Daily News,MarketBeat News,"Best Buy Co., Inc. (NYSE:BBY) Shares Acquired by CIBC Asset Management Inc","CIBC Asset Management Inc boosted its stake in Best Buy Co., Inc. (NYSE:BBY – Free Report) by 9.2% in the third quarter, according to the company in its most recent disclosure with the SEC. The firm owned 34,249 shares of the technology retailer’s stock after…",https://www.etfdailynews.com/2024/11/19/best-buy-co-inc-nysebby-shares-acquired-by-cibc-asset-management-inc/,2024-11-19 11:42:52+00:00,"CIBC Asset Management Inc boosted its stake in Best Buy Co., Inc. (NYSE:BBY – Free Report) by 9.2% in the third quarter, according to the company in its most recent disclosure with the SEC. The firm … [+5394 chars]",cibc asset management inc boosted stake best buy co inc nyse bby free report third quarter according company recent disclosure sec firm chars,2024-11-19,positive,0.91,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,BCM Advisors LLC Grows Stake in JPMorgan Chase & Co. (NYSE:JPM),"BCM Advisors LLC raised its stake in JPMorgan Chase & Co. (NYSE:JPM – Free Report) by 382.1% during the third quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The fund owned 6,099 shares of the …",https://www.etfdailynews.com/2024/11/19/bcm-advisors-llc-grows-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-19 11:42:52+00:00,"BCM Advisors LLC raised its stake in JPMorgan Chase &amp; Co. (NYSE:JPM – Free Report) by 382.1% during the third quarter, according to the company in its most recent Form 13F filing with the Securit… [+5957 chars]",bcm advisors llc raised stake jpmorgan chase amp co nyse jpm free report third quarter according company recent form filing securit chars,2024-11-19,positive,0.5106,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Huntington National Bank Has $376.18 Million Stake in JPMorgan Chase & Co. (NYSE:JPM),"Huntington National Bank trimmed its position in shares of JPMorgan Chase & Co. (NYSE:JPM) by 0.7% during the 3rd quarter, according to its most recent Form 13F filing with the Securities & Exchange Commission. The firm owned 1,784,005 shares of the financial…",https://www.etfdailynews.com/2024/11/19/huntington-national-bank-has-376-18-million-stake-in-jpmorgan-chase-co-nysejpm/,2024-11-19 11:42:51+00:00,"Huntington National Bank trimmed its position in shares of JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.7% during the 3rd quarter, according to its most recent Form 13F filing with the Securities &amp; E… [+5473 chars]",huntington national bank trimmed position shares jpmorgan chase amp co nyse jpm rd quarter according recent form filing securities amp chars,2024-11-19,positive,0.5267,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,CIBC Asset Management Inc Increases Stock Holdings in Carnival Co. & plc (NYSE:CCL),"CIBC Asset Management Inc lifted its stake in shares of Carnival Co. & plc (NYSE:CCL – Free Report) by 8.2% in the 3rd quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm owned 150,447 shares of the company’s…",https://www.etfdailynews.com/2024/11/19/cibc-asset-management-inc-increases-stock-holdings-in-carnival-co-plc-nyseccl/,2024-11-19 11:06:57+00:00,"CIBC Asset Management Inc lifted its stake in shares of Carnival Co. &amp; plc (NYSE:CCL – Free Report) by 8.2% in the 3rd quarter, according to its most recent disclosure with the Securities and Exc… [+5264 chars]",cibc asset management inc lifted stake shares carnival co amp plc nyse ccl free report rd quarter according recent disclosure securities exc chars,2024-11-19,positive,0.8481,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,GE HealthCare Technologies Inc. (NASDAQ:GEHC) Receives Consensus Rating of “Moderate Buy” from Brokerages,"Shares of GE HealthCare Technologies Inc. (NASDAQ:GEHC – Get Free Report) have been assigned an average recommendation of “Moderate Buy” from the fifteen analysts that are currently covering the stock, Marketbeat Ratings reports. One analyst has rated the sto…",https://www.etfdailynews.com/2024/11/19/ge-healthcare-technologies-inc-nasdaqgehc-receives-consensus-rating-of-moderate-buy-from-brokerages/,2024-11-19 11:06:57+00:00,Shares of GE HealthCare Technologies Inc. (NASDAQ:GEHC – Get Free Report) have been assigned an average recommendation of “Moderate Buy” from the fifteen analysts that are currently covering the stoc… [+5836 chars],shares ge healthcare technologies inc nasdaq gehc get free report assigned average recommendation moderate buy fifteen analysts currently covering stoc chars,2024-11-19,positive,0.6705,positive,0.9550315141677856
JPMorgan Chase,ETF Daily News,MarketBeat News,"Metis Global Partners LLC Raises Stock Holdings in Live Nation Entertainment, Inc. (NYSE:LYV)","Metis Global Partners LLC boosted its holdings in Live Nation Entertainment, Inc. (NYSE:LYV – Free Report) by 7.4% during the 3rd quarter, Holdings Channel reports. The firm owned 5,073 shares of the company’s stock after acquiring an additional 350 shares du…",https://www.etfdailynews.com/2024/11/19/metis-global-partners-llc-raises-stock-holdings-in-live-nation-entertainment-inc-nyselyv/,2024-11-19 11:03:07+00:00,"Metis Global Partners LLC boosted its holdings in Live Nation Entertainment, Inc. (NYSE:LYV – Free Report) by 7.4% during the 3rd quarter, Holdings Channel reports. The firm owned 5,073 shares of the… [+6157 chars]",metis global partners llc boosted holdings live nation entertainment inc nyse lyv free report rd quarter holdings channel reports firm owned shares chars,2024-11-19,positive,0.8689,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"KBC Group NV Acquires 33,708 Shares of First Horizon Co. (NYSE:FHN)","KBC Group NV raised its holdings in shares of First Horizon Co. (NYSE:FHN – Free Report) by 240.5% in the 3rd quarter, Holdings Channel reports. The firm owned 47,724 shares of the financial services provider’s stock after purchasing an additional 33,708 shar…",https://www.etfdailynews.com/2024/11/19/kbc-group-nv-acquires-33708-shares-of-first-horizon-co-nysefhn/,2024-11-19 11:03:07+00:00,"KBC Group NV raised its holdings in shares of First Horizon Co. (NYSE:FHN – Free Report) by 240.5% in the 3rd quarter, Holdings Channel reports. The firm owned 47,724 shares of the financial services… [+6860 chars]",kbc group nv raised holdings shares first horizon co nyse fhn free report rd quarter holdings channel reports firm owned shares financial services chars,2024-11-19,positive,0.7717,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Huntington National Bank Raises Position in CCC Intelligent Solutions Holdings Inc. (NYSE:CCCS),"Huntington National Bank increased its holdings in shares of CCC Intelligent Solutions Holdings Inc. (NYSE:CCCS – Free Report) by 37.6% during the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission …",https://www.etfdailynews.com/2024/11/19/huntington-national-bank-raises-position-in-ccc-intelligent-solutions-holdings-inc-nysecccs/,2024-11-19 11:03:01+00:00,"Huntington National Bank increased its holdings in shares of CCC Intelligent Solutions Holdings Inc. (NYSE:CCCS – Free Report) by 37.6% during the 3rd quarter, according to the company in its most re… [+6300 chars]",huntington national bank increased holdings shares ccc intelligent solutions holdings inc nyse cccs free report rd quarter according company chars,2024-11-19,positive,0.8834,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,CIBC Asset Management Inc Decreases Stake in Amcor plc (NYSE:AMCR),"CIBC Asset Management Inc lessened its holdings in shares of Amcor plc (NYSE:AMCR – Free Report) by 7.0% during the 3rd quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The fund owned 346,646 shares of…",https://www.etfdailynews.com/2024/11/19/cibc-asset-management-inc-decreases-stake-in-amcor-plc-nyseamcr/,2024-11-19 11:03:01+00:00,"CIBC Asset Management Inc lessened its holdings in shares of Amcor plc (NYSE:AMCR – Free Report) by 7.0% during the 3rd quarter, according to the company in its most recent 13F filing with the Securi… [+4999 chars]",cibc asset management inc lessened holdings shares amcor plc nyse amcr free report rd quarter according company recent filing securi chars,2024-11-19,positive,0.7906,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,EQT Co. (NYSE:EQT) Shares Bought by KBC Group NV,"KBC Group NV grew its stake in EQT Co. (NYSE:EQT – Free Report) by 112.7% during the third quarter, HoldingsChannel.com reports. The firm owned 41,637 shares of the oil and gas producer’s stock after purchasing an additional 22,064 shares during the period. K…",https://www.etfdailynews.com/2024/11/19/eqt-co-nyseeqt-shares-bought-by-kbc-group-nv/,2024-11-19 11:03:01+00:00,"KBC Group NV grew its stake in EQT Co. (NYSE:EQT – Free Report) by 112.7% during the third quarter, HoldingsChannel.com reports. The firm owned 41,637 shares of the oil and gas producer’s stock after… [+5049 chars]",kbc group nv grew stake eqt co nyse eqt free report third quarter holdingschannel com reports firm owned shares oil gas producer stock chars,2024-11-19,positive,0.6705,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Apollon Wealth Management LLC Makes New Investment in Pentair plc (NYSE:PNR),"Apollon Wealth Management LLC purchased a new position in Pentair plc (NYSE:PNR – Free Report) in the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund purchased 2,621 shares of the…",https://www.etfdailynews.com/2024/11/19/apollon-wealth-management-llc-makes-new-investment-in-pentair-plc-nysepnr/,2024-11-19 11:03:00+00:00,"Apollon Wealth Management LLC purchased a new position in Pentair plc (NYSE:PNR – Free Report) in the 3rd quarter, according to the company in its most recent 13F filing with the Securities and Excha… [+5884 chars]",apollon wealth management llc purchased new position pentair plc nyse pnr free report rd quarter according company recent filing securities excha chars,2024-11-19,positive,0.8271,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Neurocrine Biosciences, Inc. (NASDAQ:NBIX) Shares Acquired by Metis Global Partners LLC","Metis Global Partners LLC boosted its holdings in Neurocrine Biosciences, Inc. (NASDAQ:NBIX – Free Report) by 9.1% during the third quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 2,444 s…",https://www.etfdailynews.com/2024/11/19/neurocrine-biosciences-inc-nasdaqnbix-shares-acquired-by-metis-global-partners-llc/,2024-11-19 10:35:10+00:00,"Metis Global Partners LLC boosted its holdings in Neurocrine Biosciences, Inc. (NASDAQ:NBIX – Free Report) by 9.1% during the third quarter, according to the company in its most recent filing with th… [+4445 chars]",metis global partners llc boosted holdings neurocrine biosciences inc nasdaq nbix free report third quarter according company recent filing th chars,2024-11-19,positive,0.7003,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Oppenheimer Asset Management Inc. Makes New $826,000 Investment in Upstart Holdings, Inc. (NASDAQ:UPST)","Oppenheimer Asset Management Inc. purchased a new position in Upstart Holdings, Inc. (NASDAQ:UPST – Free Report) during the 3rd quarter, according to its most recent 13F filing with the SEC. The firm purchased 20,651 shares of the company’s stock, valued at a…",https://www.etfdailynews.com/2024/11/19/oppenheimer-asset-management-inc-makes-new-826000-investment-in-upstart-holdings-inc-nasdaqupst/,2024-11-19 10:28:55+00:00,"Oppenheimer Asset Management Inc. purchased a new position in Upstart Holdings, Inc. (NASDAQ:UPST – Free Report) during the 3rd quarter, according to its most recent 13F filing with the SEC. The firm… [+4691 chars]",oppenheimer asset management inc purchased new position upstart holdings inc nasdaq upst free report rd quarter according recent filing sec firm chars,2024-11-19,positive,0.7003,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Oppenheimer Asset Management Inc. Sells 70 Shares of Cummins Inc. (NYSE:CMI),"Oppenheimer Asset Management Inc. trimmed its position in Cummins Inc. (NYSE:CMI – Free Report) by 2.4% in the 3rd quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 2,886 shares of th…",https://www.etfdailynews.com/2024/11/19/oppenheimer-asset-management-inc-sells-70-shares-of-cummins-inc-nysecmi/,2024-11-19 10:28:52+00:00,"Oppenheimer Asset Management Inc. trimmed its position in Cummins Inc. (NYSE:CMI – Free Report) by 2.4% in the 3rd quarter, according to the company in its most recent filing with the Securities and … [+6622 chars]",oppenheimer asset management inc trimmed position cummins inc nyse cmi free report rd quarter according company recent filing securities chars,2024-11-19,positive,0.7906,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,The Goldman Sachs Group Has Lowered Expectations for Advance Auto Parts (NYSE:AAP) Stock Price,"Advance Auto Parts (NYSE:AAP – Free Report) had its target price decreased by The Goldman Sachs Group from $60.00 to $43.00 in a report released on Friday morning,Benzinga reports. The Goldman Sachs Group currently has a neutral rating on the stock. A number …",https://www.etfdailynews.com/2024/11/19/the-goldman-sachs-group-has-lowered-expectations-for-advance-auto-parts-nyseaap-stock-price/,2024-11-19 10:21:01+00:00,"Advance Auto Parts (NYSE:AAP – Free Report) had its target price decreased by The Goldman Sachs Group from $60.00 to $43.00 in a report released on Friday morning,Benzinga reports. The Goldman Sachs … [+5015 chars]",advance auto parts nyse aap free report target price decreased goldman sachs group report released friday morning benzinga reports goldman sachs chars,2024-11-19,positive,0.5106,negative,0.8857938051223755
JPMorgan Chase,ETF Daily News,MarketBeat News,Capri (NYSE:CPRI) Price Target Lowered to $23.00 at Telsey Advisory Group,"Capri (NYSE:CPRI – Free Report) had its target price cut by Telsey Advisory Group from $26.00 to $23.00 in a research note published on Friday morning, Marketbeat.com reports. They currently have a market perform rating on the stock. CPRI has been the topic o…",https://www.etfdailynews.com/2024/11/19/capri-nysecpri-price-target-lowered-to-23-00-at-telsey-advisory-group/,2024-11-19 10:21:01+00:00,"Capri (NYSE:CPRI – Free Report) had its target price cut by Telsey Advisory Group from $26.00 to $23.00 in a research note published on Friday morning, Marketbeat.com reports. They currently have a m… [+3604 chars]",capri nyse cpri free report target price cut telsey advisory group research note published friday morning marketbeat com reports currently chars,2024-11-19,positive,0.296,neutral,0.0
JPMorgan Chase,GlobeNewswire,Research and Markets,Virtual Cards Market Analysis Report and Segment Forecasts 2025-2030 - Market Size is Forecast to Reach USD 60.06 billion in 2030 and is Projected to Grow at a CAGR of 21.2% from 2025 to 2030,"Dublin, Nov. 19, 2024 (GLOBE NEWSWIRE) -- The ""Virtual Cards Market Size, Share & Trends Analysis Report by Card Type (Debit Card, Credit Card), Product Type, Application, Region, and Segment Forecasts, 2025-2030"" report has been added to ResearchAndMarkets.c…",https://www.globenewswire.com/news-release/2024/11/19/2983364/28124/en/Virtual-Cards-Market-Analysis-Report-and-Segment-Forecasts-2025-2030-Market-Size-is-Forecast-to-Reach-USD-60-06-billion-in-2030-and-is-Projected-to-Grow-at-a-CAGR-of-21-2-from-2025.html,2024-11-19 10:20:00+00:00,"Dublin, Nov. 19, 2024 (GLOBE NEWSWIRE) -- The ""Virtual Cards Market Size, Share &amp; Trends Analysis Report by Card Type (Debit Card, Credit Card), Product Type, Application, Region, and Segment For… [+6089 chars]",dublin nov globe newswire virtual cards market size share amp trends analysis report card type debit card credit card product type application region segment chars,2024-11-19,positive,0.5859,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Bright Horizons Family Solutions Inc. (NYSE:BFAM) Short Interest Update,"Bright Horizons Family Solutions Inc. (NYSE:BFAM – Get Free Report) saw a large growth in short interest during the month of October. As of October 31st, there was short interest totalling 535,500 shares, a growth of 8.8% from the October 15th total of 492,30…",https://www.etfdailynews.com/2024/11/19/bright-horizons-family-solutions-inc-nysebfam-short-interest-update/,2024-11-19 10:07:03+00:00,"Bright Horizons Family Solutions Inc. (NYSE:BFAM – Get Free Report) saw a large growth in short interest during the month of October. As of October 31st, there was short interest totalling 535,500 sh… [+5794 chars]",bright horizons family solutions inc nyse bfam get free report saw large growth short interest month october october st short interest totalling sh chars,2024-11-19,positive,0.9382,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Metis Global Partners LLC Raises Stock Holdings in COPT Defense Properties (NYSE:CDP),"Metis Global Partners LLC boosted its holdings in COPT Defense Properties (NYSE:CDP – Free Report) by 31.4% during the 3rd quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The fund owned 11,577 share…",https://www.etfdailynews.com/2024/11/19/metis-global-partners-llc-raises-stock-holdings-in-copt-defense-properties-nysecdp/,2024-11-19 10:02:59+00:00,"Metis Global Partners LLC boosted its holdings in COPT Defense Properties (NYSE:CDP – Free Report) by 31.4% during the 3rd quarter, according to the company in its most recent disclosure with the Sec… [+5853 chars]",metis global partners llc boosted holdings copt defense properties nyse cdp free report rd quarter according company recent disclosure sec chars,2024-11-19,positive,0.743,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Ferguson Wellman Capital Management Inc. Sells 4,402 Shares of JPMorgan Chase & Co. (NYSE:JPM)","Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase & Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm owned 767,664 shares of the financial services provider’s stock…",https://www.etfdailynews.com/2024/11/19/ferguson-wellman-capital-management-inc-sells-4402-shares-of-jpmorgan-chase-co-nysejpm/,2024-11-19 10:02:59+00:00,"Ferguson Wellman Capital Management Inc. lowered its stake in JPMorgan Chase &amp; Co. (NYSE:JPM) by 0.6% during the third quarter, according to its most recent Form 13F filing with the SEC. The firm… [+6219 chars]",ferguson wellman capital management inc lowered stake jpmorgan chase amp co nyse jpm third quarter according recent form filing sec firm chars,2024-11-19,negative,-0.128,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"Los Angeles Capital Management LLC Sells 44,180 Shares of Ashland Inc. (NYSE:ASH)","Los Angeles Capital Management LLC reduced its stake in Ashland Inc. (NYSE:ASH – Free Report) by 94.2% during the 3rd quarter, HoldingsChannel reports. The fund owned 2,739 shares of the basic materials company’s stock after selling 44,180 shares during the q…",https://www.etfdailynews.com/2024/11/19/los-angeles-capital-management-llc-sells-44180-shares-of-ashland-inc-nyseash/,2024-11-19 10:02:59+00:00,"Los Angeles Capital Management LLC reduced its stake in Ashland Inc. (NYSE:ASH – Free Report) by 94.2% during the 3rd quarter, HoldingsChannel reports. The fund owned 2,739 shares of the basic materi… [+6375 chars]",los angeles capital management llc reduced stake ashland inc nyse ash free report rd quarter holdingschannel reports fund owned shares basic materi chars,2024-11-19,positive,0.6705,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Sumitomo Mitsui Trust Group Inc. Reduces Holdings in Nio Inc – (NYSE:NIO),"Sumitomo Mitsui Trust Group Inc. decreased its holdings in Nio Inc – (NYSE:NIO – Free Report) by 87.3% during the third quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The fund owned 424,322 shares …",https://www.etfdailynews.com/2024/11/19/sumitomo-mitsui-trust-group-inc-reduces-holdings-in-nio-inc-nysenio/,2024-11-19 10:02:58+00:00,"Sumitomo Mitsui Trust Group Inc. decreased its holdings in Nio Inc – (NYSE:NIO – Free Report) by 87.3% during the third quarter, according to the company in its most recent disclosure with the Securi… [+4697 chars]",sumitomo mitsui trust group inc decreased holdings nio inc nyse nio free report third quarter according company recent disclosure securi chars,2024-11-19,positive,0.765,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,"MP Materials Corp. (NYSE:MP) CEO James H. Litinsky Sells 300,000 Shares","MP Materials Corp. (NYSE:MP – Get Free Report) CEO James H. Litinsky sold 300,000 shares of MP Materials stock in a transaction on Monday, November 18th. The stock was sold at an average price of $18.45, for a total transaction of $5,535,000.00. Following the…",https://www.etfdailynews.com/2024/11/19/mp-materials-corp-nysemp-ceo-james-h-litinsky-sells-300000-shares/,2024-11-19 10:01:01+00:00,"MP Materials Corp. (NYSE:MP – Get Free Report) CEO James H. Litinsky sold 300,000 shares of MP Materials stock in a transaction on Monday, November 18th. The stock was sold at an average price of $18… [+4720 chars]",mp materials corp nyse mp get free report ceo james litinsky sold shares mp materials stock transaction monday november th stock sold average price chars,2024-11-19,positive,0.6705,neutral,0.0
JPMorgan Chase,ETF Daily News,MarketBeat News,Oshkosh Co. (NYSE:OSK) Position Decreased by Cornercap Investment Counsel Inc.,"Cornercap Investment Counsel Inc. cut its stake in shares of Oshkosh Co. (NYSE:OSK – Free Report) by 59.2% during the third quarter, according to its most recent disclosure with the Securities & Exchange Commission. The firm owned 2,252 shares of the company’…",https://www.etfdailynews.com/2024/11/19/oshkosh-co-nyseosk-position-decreased-by-cornercap-investment-counsel-inc/,2024-11-19 09:58:59+00:00,"Cornercap Investment Counsel Inc. cut its stake in shares of Oshkosh Co. (NYSE:OSK – Free Report) by 59.2% during the third quarter, according to its most recent disclosure with the Securities &amp; … [+4938 chars]",cornercap investment counsel inc cut stake shares oshkosh co nyse osk free report third quarter according recent disclosure securities amp chars,2024-11-19,positive,0.6808,neutral,0.0
